"timestamp","open","high","low","close","adjusted close","volume","dividend amount"
"2001-02-28","323.7500","342.4750","317.5000","331.9000","280.4604","6692796","0.0000"
"2001-01-31","319.2500","348.0000","0.0000","325.2120","274.8090","9586464","0.0000"
"2000-12-29","337.0000","362.7500","0.0000","318.6630","269.2749","9935380","0.0000"
"2000-11-30","356.2500","398.7500","328.7500","337.8370","285.4772","15916392","0.0000"
"2000-10-31","0.0000","362.2500","0.0000","350.2750","295.9876","7690876","0.0000"
"2000-09-29","0.0000","360.0000","0.0000","312.7750","264.2995","6543644","0.0000"
"2000-08-31","281.2500","347.5000","0.0000","329.9000","278.3474","9415752","0.0000"
"2000-07-31","331.0000","356.2500","250.5750","287.7630","242.7950","7518804","0.0000"
"2000-06-30","338.8880","370.0000","300.0250","326.4620","275.4466","6439992","0.0000"
"2000-05-31","0.0000","363.7500","0.0000","348.3620","293.9243","5290852","0.0000"
"2000-04-28","408.7500","429.2500","0.0000","322.8250","272.3779","6714820","0.0000"
"2000-03-31","395.0000","449.4750","0.0000","408.0870","342.0939","7720080","0.0000"
"2000-02-29","337.5000","450.7500","330.0000","387.5130","324.8470","4569952","0.0000"
