"timestamp","open","high","low","close","adjusted_close","volume","dividend_amount","split_coefficient"
"2018-01-05","585.0000","587.3500","575.3000","578.7500","577.0101","4600683","0.0000","1.0000"
"2018-01-04","572.0000","583.9500","560.1000","581.2000","579.4527","6246746","0.0000","1.0000"
"2018-01-03","575.0000","578.9500","567.0000","569.0500","567.3392","2182632","0.0000","1.0000"
"2018-01-02","577.0000","582.0000","567.2000","572.1500","570.4299","3839130","0.0000","1.0000"
"2018-01-01","571.5000","585.4000","571.2500","574.0500","572.3242","5314142","0.0000","1.0000"
"2017-12-29","572.7000","579.0000","568.2000","571.1500","569.4329","5197225","0.0000","1.0000"
"2017-12-28","580.2500","585.6000","566.3500","568.4000","566.6912","11062915","0.0000","1.0000"
"2017-12-27","543.8000","581.7000","543.0500","576.3000","574.5674","23356359","0.0000","1.0000"
"2017-12-26","530.2000","544.4000","529.0000","541.3000","539.6726","4858794","0.0000","1.0000"
"2017-12-22","528.2000","533.5000","526.0500","530.9500","529.3538","2982469","0.0000","1.0000"
"2017-12-21","532.0000","538.7000","525.8000","528.2000","526.6121","5492286","0.0000","1.0000"
"2017-12-20","528.8000","532.5000","525.7000","527.2500","525.6649","2558514","0.0000","1.0000"
"2017-12-19","533.0000","535.3500","525.1500","527.5000","525.9141","3216333","0.0000","1.0000"
"2017-12-18","517.0000","533.7000","499.5000","529.8000","528.2072","4063126","0.0000","1.0000"
"2017-12-15","518.5000","524.0000","515.9000","518.3500","516.7916","3053990","0.0000","1.0000"
"2017-12-14","518.2000","519.6000","511.2000","514.4000","512.8535","2301593","0.0000","1.0000"
"2017-12-13","521.0000","526.3000","515.5000","516.8500","515.2961","2072867","0.0000","1.0000"
"2017-12-12","532.0000","533.7500","519.3000","520.8500","519.2841","2669035","0.0000","1.0000"
"2017-12-11","525.0000","531.0000","521.8500","529.6000","528.0078","2581923","0.0000","1.0000"
"2017-12-08","513.5000","524.0000","511.0000","521.8500","520.2811","3394236","0.0000","1.0000"
"2017-12-07","510.0000","515.5500","506.0000","510.3500","508.8157","4470510","0.0000","1.0000"
"2017-12-06","525.8000","526.5000","510.1000","511.3500","509.8127","3859141","0.0000","1.0000"
"2017-12-05","518.5500","528.0000","517.6500","523.1500","521.5772","3479216","0.0000","1.0000"
"2017-12-04","529.8000","529.8000","516.5000","520.7500","519.1844","3306680","0.0000","1.0000"
"2017-12-01","544.0000","545.4500","522.2500","525.9500","524.3688","3164938","0.0000","1.0000"
"2017-11-30","547.0500","554.9500","537.7000","539.9500","538.3267","5950729","0.0000","1.0000"
"2017-11-29","543.0000","549.6500","541.5000","547.1000","545.4552","2174433","0.0000","1.0000"
"2017-11-28","551.0000","556.3500","541.1000","543.1500","541.5171","2493500","0.0000","1.0000"
"2017-11-27","541.1000","553.9000","538.2500","551.5500","549.8918","3833249","0.0000","1.0000"
"2017-11-24","545.7500","551.0000","541.7000","549.5000","547.8480","4099139","0.0000","1.0000"
"2017-11-23","535.0000","547.5000","531.8500","544.7500","543.1122","3972361","0.0000","1.0000"
"2017-11-22","539.7500","544.6500","530.1500","535.2500","533.6408","4294740","0.0000","1.0000"
"2017-11-21","518.0000","541.5000","514.5500","538.0500","536.4324","7852414","0.0000","1.0000"
"2017-11-20","520.0000","521.8500","514.3000","517.1500","515.5953","1977341","0.0000","1.0000"
"2017-11-17","510.2000","522.1500","510.0500","517.1000","515.5453","3515919","0.0000","1.0000"
"2017-11-16","505.0000","510.8000","498.2000","508.5500","507.0211","5351102","0.0000","1.0000"
"2017-11-15","516.0000","520.0000","501.1000","504.6500","503.1328","8629268","0.0000","1.0000"
"2017-11-14","533.4000","537.9000","517.1000","526.0500","524.4684","5853721","0.0000","1.0000"
"2017-11-13","526.8000","541.6000","519.1000","532.5500","530.9489","5498679","0.0000","1.0000"
"2017-11-10","530.0000","534.2000","523.7500","527.8500","526.2631","3187021","0.0000","1.0000"
"2017-11-09","555.0000","555.0000","527.0500","533.9000","532.2949","4591954","0.0000","1.0000"
"2017-11-08","533.0000","545.4000","532.4000","537.8000","536.1832","4530173","0.0000","1.0000"
"2017-11-07","545.0000","549.8000","513.2500","527.6000","526.0138","8930638","0.0000","1.0000"
"2017-11-06","553.0000","555.9000","539.3000","541.2000","539.5729","3987042","0.0000","1.0000"
"2017-11-03","565.0000","567.8000","550.2000","551.2500","549.5927","3595527","0.0000","1.0000"
"2017-11-02","548.0000","572.3000","547.6500","563.4500","561.7560","8413439","0.0000","1.0000"
"2017-11-01","553.0500","555.9000","546.4000","548.7000","547.0504","3304676","0.0000","1.0000"
"2017-10-31","553.0000","558.7000","545.9000","552.9000","551.2378","2907328","0.0000","1.0000"
"2017-10-30","552.1000","557.3000","544.1000","553.1000","551.4371","5360570","0.0000","1.0000"
"2017-10-27","532.5000","557.9000","532.5000","549.9000","548.2468","8848376","0.0000","1.0000"
"2017-10-26","525.4000","538.9000","519.0000","530.1500","528.5562","3566575","0.0000","1.0000"
"2017-10-25","534.9000","539.0000","522.2500","523.2500","521.6769","2055745","0.0000","1.0000"
"2017-10-24","537.5000","539.0000","533.5000","534.5500","532.9429","1940555","0.0000","1.0000"
"2017-10-23","536.0500","543.5000","533.3000","540.4000","538.7754","2878772","0.0000","1.0000"
"2017-10-19","540.2000","543.0000","532.0000","535.7500","534.1393","434929","0.0000","1.0000"
"2017-10-18","549.3500","549.4000","538.8500","540.2000","538.5759","3499930","0.0000","1.0000"
"2017-10-17","546.9000","554.0000","544.5500","547.2000","545.5549","4477156","0.0000","1.0000"
"2017-10-16","538.4000","549.9000","533.8000","547.9500","546.3027","5322443","0.0000","1.0000"
"2017-10-13","541.2500","543.1000","533.0000","534.7000","533.0925","3819414","0.0000","1.0000"
"2017-10-12","543.0000","545.0000","532.0000","539.5500","537.9279","8970339","0.0000","1.0000"
"2017-10-11","530.8000","533.1500","521.1500","526.0500","524.4684","4031497","0.0000","1.0000"
"2017-10-10","531.9000","535.0000","526.1000","527.2000","525.6151","2244596","0.0000","1.0000"
"2017-10-09","527.8000","536.9500","521.6000","531.4000","529.8024","5049020","0.0000","1.0000"
"2017-10-06","518.0000","533.0000","515.8000","530.2000","528.6060","6323391","0.0000","1.0000"
"2017-10-05","519.0000","525.0000","512.0000","513.8000","512.2553","3576059","0.0000","1.0000"
"2017-10-04","504.1000","522.0000","502.0000","517.9000","516.3430","6203591","0.0000","1.0000"
"2017-10-03","509.0000","509.6000","500.1500","502.6500","501.1388","2880625","0.0000","1.0000"
"2017-09-29","500.2500","506.0000","498.2500","503.2500","501.7370","3478824","0.0000","1.0000"
"2017-09-28","494.7000","507.0000","493.5000","499.2000","497.6992","5557091","0.0000","1.0000"
"2017-09-27","503.9500","503.9500","489.5000","494.7000","493.2127","7594880","0.0000","1.0000"
"2017-09-26","506.0000","515.0000","505.1500","507.6000","506.0739","3615167","0.0000","1.0000"
"2017-09-25","512.0000","514.5500","501.5000","505.9500","504.4289","4345197","0.0000","1.0000"
"2017-09-22","518.9500","528.5000","508.7000","513.8500","512.3051","7990848","0.0000","1.0000"
"2017-09-21","508.5000","525.0000","505.0000","519.6500","518.0878","10217874","0.0000","1.0000"
"2017-09-20","518.8000","519.4000","503.6000","505.5000","503.9803","5024973","0.0000","1.0000"
"2017-09-19","523.8000","529.4000","511.6000","515.8000","514.2493","4355599","0.0000","1.0000"
"2017-09-18","525.0000","527.0000","511.0000","521.0500","519.4835","3689242","0.0000","1.0000"
"2017-09-15","518.2000","527.9500","514.1000","524.3000","519.2343","7483452","0.0000","1.0000"
"2017-09-14","520.0000","527.1500","513.6000","524.6500","519.5809","10997664","0.0000","1.0000"
"2017-09-13","484.0000","510.5000","479.9000","503.3500","498.4867","11440036","0.0000","1.0000"
"2017-09-12","475.0000","485.5500","470.5000","483.4000","478.7294","5892218","0.0000","1.0000"
"2017-09-11","474.5000","476.4000","466.2000","467.4500","462.9336","3437220","0.0000","1.0000"
"2017-09-08","478.9500","484.3000","467.2500","471.3500","466.7959","3557040","0.0000","1.0000"
"2017-09-07","477.0000","483.5000","474.2500","480.4500","475.8080","2916205","0.0000","1.0000"
"2017-09-06","486.9500","486.9500","473.0000","474.2500","469.6679","7344173","0.0000","1.0000"
"2017-09-05","503.0000","504.5500","490.1000","491.8500","487.0978","5266455","0.0000","1.0000"
"2017-09-04","484.0000","509.7000","478.1500","500.7000","495.8623","4489406","0.0000","1.0000"
"2017-09-01","481.0000","492.0000","480.8000","486.2000","481.5024","3998817","0.0000","1.0000"
"2017-08-31","487.1500","487.3500","476.6500","481.1500","476.5012","4398132","0.0000","1.0000"
"2017-08-30","484.0000","488.9500","481.4500","484.2500","479.5712","2523480","0.0000","1.0000"
"2017-08-29","491.9500","491.9500","479.6500","481.8000","477.1449","2605383","0.0000","1.0000"
"2017-08-28","488.8000","499.9000","483.2500","493.2000","488.4348","6388051","0.0000","1.0000"
"2017-08-24","471.9000","488.4500","469.5000","483.0000","478.3333","5680084","0.0000","1.0000"
"2017-08-23","473.9500","475.9500","467.6000","469.2000","464.6667","3682870","0.0000","1.0000"
"2017-08-22","464.0000","472.5000","461.8000","470.4500","465.9046","3797497","0.0000","1.0000"
"2017-08-21","475.4000","475.4000","459.4000","460.5500","456.1002","4215469","0.0000","1.0000"
"2017-08-18","485.0000","485.0000","467.2000","470.1500","465.6075","4513543","0.0000","1.0000"
"2017-08-17","485.7000","490.4000","480.5500","488.2500","483.5326","4484873","0.0000","1.0000"
"2017-08-16","478.0000","486.7000","467.7000","485.7000","481.0072","7588306","0.0000","1.0000"
"2017-08-14","433.0000","476.9500","432.7000","471.8000","467.2415","20846332","0.0000","1.0000"
"2017-08-11","458.0000","462.9500","444.6000","450.0000","445.6522","7851424","0.0000","1.0000"
"2017-08-10","470.5000","485.4500","451.0500","460.8000","456.3478","10149400","0.0000","1.0000"
"2017-08-09","488.5000","493.5000","471.3500","474.3500","469.7669","11025555","0.0000","1.0000"
"2017-08-08","509.0000","509.0000","498.0000","500.3500","495.5157","3042569","0.0000","1.0000"
"2017-08-07","508.9000","513.1500","504.2500","505.5500","500.6654","2279879","0.0000","1.0000"
"2017-08-04","513.7000","513.8000","492.6500","506.4000","501.5072","7344699","0.0000","1.0000"
"2017-08-03","527.0000","530.0000","514.0000","515.8500","510.8659","4531774","0.0000","1.0000"
"2017-08-02","537.0000","537.3000","521.7500","523.5500","518.4915","3483902","0.0000","1.0000"
"2017-08-01","531.6500","541.9000","530.0500","533.8000","528.6425","3699349","0.0000","1.0000"
"2017-07-31","553.0000","553.7000","528.9000","531.6500","526.5132","5404990","0.0000","1.0000"
"2017-07-28","569.0000","569.8500","549.0000","550.8000","545.4782","4094196","0.0000","1.0000"
"2017-07-27","580.0000","582.2000","567.5000","572.1000","566.5724","5119717","0.0000","1.0000"
"2017-07-26","568.5000","580.3000","566.5000","579.5000","573.9009","1896905","0.0000","1.0000"
"2017-07-25","571.0500","573.3500","563.5000","565.9000","560.4324","2272849","0.0000","1.0000"
"2017-07-24","577.0000","577.9000","569.3500","570.8000","565.2850","1496356","0.0000","1.0000"
"2017-07-21","582.7000","586.4000","575.0000","575.9500","570.3853","2584036","0.0000","1.0000"
"2017-07-20","591.5000","591.5000","580.0000","582.0500","576.4263","1054118","0.0000","1.0000"
"2017-07-19","584.0000","590.2500","583.0000","589.1500","583.4577","1772229","0.0000","1.0000"
"2017-07-18","569.9000","583.0000","569.0000","578.2500","572.6630","1868904","0.0000","1.0000"
"2017-07-17","575.0000","577.7500","567.5000","571.4500","565.9287","1878995","0.0000","1.0000"
"2017-07-14","568.9000","578.9500","568.5000","572.5500","567.0181","3111057","0.0000","1.0000"
"2017-07-13","560.0500","571.6000","560.0500","569.3000","563.7994","4364882","0.0000","1.0000"
"2017-07-12","566.0000","567.0000","560.0000","562.4000","556.9662","1383094","0.0000","1.0000"
"2017-07-11","565.0000","571.9000","562.1000","563.8000","558.3526","2824262","0.0000","1.0000"
"2017-07-10","557.7500","570.0000","557.7500","563.7000","558.2536","1025468","0.0000","1.0000"
"2017-07-07","546.0000","552.2500","545.0000","549.0000","543.6957","4482328","0.0000","1.0000"
"2017-07-06","550.8500","552.5000","543.4500","545.6000","540.3285","4155333","0.0000","1.0000"
"2017-07-05","552.5500","560.6000","548.7500","550.6500","545.3297","3121863","0.0000","1.0000"
"2017-07-04","556.0000","556.7000","545.7000","552.4500","547.1123","1980453","0.0000","1.0000"
"2017-07-03","556.0000","558.2000","548.7500","552.0000","546.6667","1580045","0.0000","1.0000"
"2017-06-30","538.8000","560.9500","538.0000","555.7000","550.3309","6561625","0.0000","1.0000"
"2017-06-29","546.0000","546.5000","534.1000","536.9000","531.7126","6060935","0.0000","1.0000"
"2017-06-28","543.8000","548.1500","538.0000","545.4500","540.1799","5278948","0.0000","1.0000"
"2017-06-27","547.0000","549.4000","537.2500","544.0500","538.7935","4675855","0.0000","1.0000"
"2017-06-23","538.0000","545.5000","537.0000","543.8000","538.5458","3920128","0.0000","1.0000"
"2017-06-22","529.5000","539.9500","529.0000","538.7000","533.4951","5201690","0.0000","1.0000"
"2017-06-21","528.0000","535.0000","523.2000","528.0000","522.8986","4257922","0.0000","1.0000"
"2017-06-20","526.1000","533.8000","519.7500","523.8000","518.7391","4464038","0.0000","1.0000"
"2017-06-19","533.0000","533.9500","521.5500","524.8500","519.7789","4118410","0.0000","1.0000"
"2017-06-16","547.9000","547.9500","526.0000","529.1500","524.0375","4986232","0.0000","1.0000"
"2017-06-15","540.7500","549.3500","536.8500","544.0000","538.7440","4179924","0.0000","1.0000"
"2017-06-14","540.0000","541.0000","532.6000","539.5500","534.3369","3182248","0.0000","1.0000"
"2017-06-13","551.1500","552.0000","536.2000","537.2000","532.0096","9578458","0.0000","1.0000"
"2017-06-12","525.0000","540.9000","521.9000","532.5500","527.4045","7634053","0.0000","1.0000"
"2017-06-09","530.0000","533.8500","521.7000","524.7000","519.6304","4635649","0.0000","1.0000"
"2017-06-08","514.0000","534.6000","511.6000","528.8500","523.7403","10616075","0.0000","1.0000"
"2017-06-07","508.9000","515.7500","504.8000","511.5500","506.6075","4217463","0.0000","1.0000"
"2017-06-06","516.0000","516.3500","503.0000","504.3000","499.4275","4813209","0.0000","1.0000"
"2017-06-05","520.0000","522.0000","511.6500","512.8000","507.8454","5257958","0.0000","1.0000"
"2017-06-02","515.0000","517.9500","508.0000","514.8500","509.8756","7715676","0.0000","1.0000"
"2017-06-01","502.1000","523.9500","502.1000","507.4500","502.5471","14169918","0.0000","1.0000"
"2017-05-31","512.0000","512.0500","499.7500","501.6000","496.7536","14794419","0.0000","1.0000"
"2017-05-30","502.0000","510.5500","502.0000","508.0000","503.0918","10937265","0.0000","1.0000"
"2017-05-29","529.0000","529.0000","492.6500","502.6000","497.7440","42138319","0.0000","1.0000"
"2017-05-26","590.6000","597.8500","564.0000","567.6500","562.1655","10814562","0.0000","1.0000"
"2017-05-25","609.0500","609.3000","582.3500","591.5500","585.8345","7237706","0.0000","1.0000"
"2017-05-24","615.9500","616.3000","599.5000","603.5000","597.6691","3751856","0.0000","1.0000"
"2017-05-23","628.0000","630.8500","589.1000","614.1000","608.1666","11623535","0.0000","1.0000"
"2017-05-22","654.0000","654.0000","636.3000","640.1500","633.9650","3156574","0.0000","1.0000"
"2017-05-19","655.5000","656.9500","646.7000","653.1500","646.8394","2223401","0.0000","1.0000"
"2017-05-18","648.7000","655.2500","643.4500","653.9500","647.6317","2149513","0.0000","1.0000"
"2017-05-17","652.1000","653.0000","644.1000","650.9000","644.6111","1920624","0.0000","1.0000"
"2017-05-16","655.0000","656.5500","648.0000","652.3500","646.0471","2325051","0.0000","1.0000"
"2017-05-15","655.4000","656.8500","649.5000","654.4500","648.1268","1224004","0.0000","1.0000"
"2017-05-12","650.0000","656.7000","643.8500","655.1000","648.7704","1992719","0.0000","1.0000"
"2017-05-11","644.8500","649.9000","640.1500","648.4500","642.1848","1674209","0.0000","1.0000"
"2017-05-10","642.0500","646.6000","637.3500","642.8000","636.5894","1381364","0.0000","1.0000"
"2017-05-09","638.0000","642.3000","630.4500","640.3000","634.1135","1589995","0.0000","1.0000"
"2017-05-08","630.9500","639.8000","626.7000","637.1500","630.9940","1544639","0.0000","1.0000"
